"Rank","Genes ranked in the direction 2","'-log10(RRA score)'","KO essential score","Brief feature","Description"
7453,"NPTXR",0.3942,0.01,"NA","neuronal pentraxin receptor"
7454,"SYCP2",0.3942,0.095,"NA","synaptonemal complex protein 2"
7455,"PLXNA2",0.3941,-0.11,"NA","plexin A2"
7456,"RAB4A",0.3941,-0.16,"NA","RAB4A"
7457,"SLC44A1",0.394,0.06,"NA","solute carrier family 44 member 1"
7458,"RASSF4",0.394,-0.17,"NA","Ras association domain family member 4"
7459,"ACSF2",0.3939,-0.17,"NA","acyl-CoA synthetase family member 2"
7460,"SERPINH1",0.3939,0.195,"NA","serpin family H member 1"
7461,"MFAP3L",0.3938,0.135,"NA","microfibril associated protein 3 like"
7462,"OR9G4",0.3938,0.05,"NA","olfactory receptor family 9 subfamily G member 4"
7463,"CNTNAP5",0.3937,0.1,"NA","contactin associated protein family member 5"
7464,"NKAIN1",0.3936,0.045,"NA","sodium/potassium transporting ATPase interacting 1"
7465,"EIF2S1",0.3936,-1.695,"NA","eukaryotic translation initiation factor 2 subunit alpha"
7466,"PRKCG",0.3935,0.15,"Kinase","protein kinase C gamma"
7467,"SEC11C",0.3935,0.115,"NA","SEC11 homolog C"
7468,"DMAP1",0.3934,-1.2,"ChroRemod","DNA methyltransferase 1 associated protein 1"
7469,"NDUFA4L2",0.3934,-0.21,"NA","NDUFA4 mitochondrial complex associated like 2"
7470,"ACO1",0.3933,0.035,"NA","aconitase 1"
7471,"GALP",0.3933,-0.33,"NA","galanin like peptide"
7472,"MAN1A1",0.3932,0.045,"NA","mannosidase alpha class 1A member 1"
7473,"C6orf47",0.3932,-0.155,"NA","chromosome 6 open reading frame 47"
7474,"GTDC1",0.3931,0.07,"NA","glycosyltransferase like domain containing 1"
7475,"GNPDA2",0.3931,-0.035,"NA","glucosamine-6-phosphate deaminase 2"
7476,"NFIA",0.393,-0.12,"TF","nuclear factor I A"
7477,"MAP3K3",0.3929,-0.17,"Kinase","mitogen-activated protein kinase kinase kinase 3"
7478,"VPS13C",0.3929,-0.03,"NA","vacuolar protein sorting 13 homolog C"
7479,"PNOC",0.3928,0.08,"NA","prepronociceptin"
7480,"SAT2",0.3928,-0.1,"NA","spermidine/spermine N1-acetyltransferase family member 2"
7481,"OLIG1",0.3927,-0.06,"TF","oligodendrocyte transcription factor 1"
7482,"CIR1",0.3927,-0.365,"ChroRemod","CBF1 (RBPJ) interacting corepressor 1"
7483,"C16orf54",0.3926,-0.065,"NA","chromosome 16 open reading frame 54"
7484,"MAD2L1",0.3925,-1.295,"NA","mitotic arrest deficient 2 like 1"
7485,"RTL4",0.3925,0.17,"NA","retrotransposon Gag like 4"
7486,"MACROH2A1",0.3924,,,
7487,"H1-5",0.3924,,,
7488,"NOM1",0.3923,-0.725,"NA","nucleolar protein with MIF4G domain 1"
7489,"CTSB",0.3922,0.13,"NA","cathepsin B"
7490,"ITCH",0.3921,-0.01,"NA","itchy E3 ubiquitin protein ligase"
7491,"NENF",0.3921,-0.02,"NA","neudesin neurotrophic factor"
7492,"ACADM",0.392,0,"NA","acyl-CoA dehydrogenase medium chain"
7493,"HNRNPA0",0.392,-0.305,"NA","heterogeneous nuclear ribonucleoprotein A0"
7494,"LTBP3",0.3919,-0.29,"NA","latent transforming growth factor beta binding protein 2"
7495,"NOX4",0.3919,0,"NA","NADPH oxidase 4"
7496,"STEAP4",0.3918,0.25,"NA","STEAP4 metalloreductase"
7497,"DCUN1D4",0.3918,-0.05,"NA","defective in cullin neddylation 1 domain containing 4"
7498,"CENPA",0.3917,-1.015,"TF","centromere protein A"
7499,"EIF4E2",0.3917,-0.29,"NA","eukaryotic translation initiation factor 4E family member 2"
7500,"RRS1",0.3916,-1.24,"NA","ribosome biogenesis regulator 1 homolog"
7501,"GTF2IRD1",0.3916,-0.075,"TF","GTF2I repeat domain containing 1"
7502,"FAXC",0.3915,-0.005,"NA","failed axon connections homolog"
7503,"HAUS5",0.3915,-1.295,"NA","HAUS augmin like complex subunit 5"
7504,"OR52I2",0.3914,0.08,"NA","olfactory receptor family 52 subfamily I member 2"
7505,"SLC12A3",0.3913,-0.08,"NA","solute carrier family 12 member 3"
7506,"CLEC5A",0.3913,0.17,"NA","C-type lectin domain containing 5A"
7507,"HCFC2",0.3912,0.195,"ChroRemod","host cell factor C2"
7508,"CMTM1",0.3912,-0.01,"NA","CKLF like MARVEL transmembrane domain containing 1"
7509,"RHOXF2",0.3911,-0.025,"TF","Rhox homeobox family member 2"
7510,"FGG",0.3911,-0.15,"NA","fibrinogen gamma chain"
7511,"RPA3",0.391,-1.625,"NA","replication protein A3"
7512,"IFI44L",0.391,-0.145,"NA","interferon induced protein 44 like"
7513,"BDP1",0.3909,-0.74,"NA","B double prime 1"
7514,"GLDN",0.3909,-0.02,"NA","gliomedin"
