"Rank","Genes ranked in the direction 1","'-log10(RRA score)'","KO essential score","Brief feature","Description"
15150,"NDUFB11",0,-0.33,"NA","NADH:ubiquinone oxidoreductase subunit B11"
15151,"NDUFB2",0,-0.315,"NA","NADH:ubiquinone oxidoreductase subunit B2"
15152,"NDUFB3",0,-0.74,"NA","NADH:ubiquinone oxidoreductase subunit B3"
15153,"NDUFS2",0,-0.53,"NA","NADH:ubiquinone oxidoreductase core subunit S2"
15154,"NDUFS6",0,-0.03,"NA","NADH:ubiquinone oxidoreductase subunit S6"
15155,"NDUFS7",0,-0.365,"NA","NADH:ubiquinone oxidoreductase core subunit S7"
15156,"NDUFS8",0,-0.53,"NA","NADH:ubiquinone oxidoreductase core subunit S8"
15157,"NECAB2",0,0.05,"NA","N-terminal EF-hand calcium binding protein 2"
15158,"NECTIN1",0,0.05,"NA","nectin cell adhesion molecule 1"
15159,"NEGR1",0,0.005,"NA","neuronal growth regulator 1"
15160,"NEK5",0,-0.09,"Kinase","NIMA related kinase 5"
15161,"NEK8",0,-0.1,"Kinase","NIMA related kinase 8"
15162,"NELL2",0,-0.135,"NA","neural EGFL like 2"
15163,"NEMP2",0,-0.105,"NA","nuclear envelope integral membrane protein 2"
15164,"NEO1",0,-0.09,"NA","neogenin 1"
15165,"NETO1",0,0.11,"NA","neuropilin and tolloid like 1"
15166,"NEU2",0,-0.16,"NA","neuraminidase 2"
15167,"NEU3",0,-0.065,"NA","neuraminidase 3"
15168,"NEU4",0,0.13,"NA","neuraminidase 4"
15169,"NEURL2",0,0.04,"NA","neuralized E3 ubiquitin protein ligase 2"
15170,"NEUROD4",0,0.065,"TF","neuronal differentiation 4"
15171,"NEUROG2",0,0.12,"TF","neurogenin 2"
15172,"NEXMIF",0,-0.07,"NA","neurite extension and migration factor"
15173,"NFATC2IP",0,-0.45,"NA","nuclear factor of activated T cells 2 interacting protein"
15174,"NFE2L1",0,-0.16,"TF","nuclear factor"
15175,"NFIA",0,-0.12,"TF","nuclear factor I A"
15176,"NFIB",0,-0.02,"TF","nuclear factor I B"
15177,"NFIX",0,0.035,"TF","nuclear factor I X"
15178,"NFKB1",0,-0.025,"TF","nuclear factor kappa B subunit 1"
15179,"NFKBIB",0,-0.16,"ChroRemod","NFKB inhibitor beta"
15180,"NFKBID",0,-0.065,"NA","NFKB inhibitor delta"
15181,"NFKBIE",0,-0.45,"ChroRemod","NFKB inhibitor epsilon"
15182,"NFX1",0,0.01,"TF","nuclear transcription factor"
15183,"NFXL1",0,0.135,"TF","nuclear transcription factor"
15184,"NGEF",0,0.04,"NA","neuronal guanine nucleotide exchange factor"
15185,"NGRN",0,-0.275,"NA","neugrin"
15186,"NHEJ1",0,-0.135,"NA","non-homologous end joining factor 1"
15187,"NHLRC2",0,-0.73,"NA","NHL repeat containing 2"
15188,"NHLRC4",0,-0.03,"NA","NHL repeat containing 4"
15189,"NICN1",0,0.05,"NA","nicolin 1"
15190,"NIN",0,0.065,"NA","ninein"
15191,"NIP7",0,-1.77,"NA","nucleolar pre-rRNA processing protein NIP7"
15192,"NIPAL3",0,0.11,"NA","NIPA like domain containing 3"
15193,"NIPSNAP2",0,0.025,"NA","nipsnap homolog 2"
15194,"NIT2",0,-0.08,"NA","nitrilase family member 2"
15195,"NKAP",0,-1.24,"NA","NFKB activating protein"
15196,"NKIRAS2",0,0,"NA","NFKB inhibitor interacting Ras like 2"
15197,"NKRF",0,-0.135,"TF","NFKB repressing factor"
15198,"NLGN2",0,-0.08,"NA","neuroligin 2"
15199,"NLRP10",0,0.14,"NA","NA"
15200,"NLRP3",0,0.125,"NA","NLR family pyrin domain containing 3"
15201,"NLRP5",0,0.035,"NA","NLR family pyrin domain containing 5"
15202,"NLRP6",0,0.06,"NA","NLR family pyrin domain containing 6"
