id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
Adk,4,0.34918,0.51662,0.999686,10546,2,0.41997,0.58704,0.998988,12144,2
Rassf3,4,0.34927,0.51669,0.999686,10548,2,0.5457,0.6883,0.999686,14225,1
Cryz,4,0.34927,0.51669,0.999686,10549,2,0.25824,0.45132,0.994069,9353,2
Nfil3,4,0.34928,0.5167,0.999686,10550,2,0.19622,0.36628,0.98616,7664,1
Klra8,4,0.34932,0.51674,0.999686,10551,1,0.23719,0.42306,0.99404,8788,3
Zfp442,4,0.34932,0.51674,0.999686,10552,2,0.33326,0.51735,0.994069,10725,2
Arhgef10,4,0.34935,0.51677,0.999686,10553,2,0.40295,0.57328,0.997045,11880,1
Tspan1,4,0.34943,0.51683,0.999686,10554,1,0.40962,0.57866,0.997125,11986,2
Olfr491,4,0.34943,0.51683,0.999686,10555,1,0.49737,0.64908,0.99901,13416,2
Oit3,4,0.34968,0.51703,0.999686,10556,2,0.40835,0.57764,0.997125,11964,2
Znf512b,4,0.34974,0.51708,0.999686,10557,2,0.32138,0.50789,0.994069,10515,2
Card9,4,0.3498,0.51713,0.999686,10558,1,0.094755,0.21377,0.982644,4464,3
Lmtk3,4,0.34985,0.51717,0.999686,10559,2,0.29357,0.48583,0.994069,10070,2
Wdr60,4,0.34996,0.51726,0.999686,10560,1,0.082167,0.19335,0.982644,4037,3
H2-T3,4,0.35004,0.51733,0.999686,10561,2,0.51388,0.66257,0.99901,13693,2
Pramel5,4,0.35011,0.51738,0.999686,10562,2,0.91807,0.91757,0.999686,18862,1
Zfp830,4,0.3502,0.51747,0.999686,10564,1,0.12941,0.26785,0.98511,5613,3
Tdrd1,4,0.3502,0.51747,0.999686,10563,1,0.23841,0.42473,0.99404,8828,3
Gna12,4,0.35031,0.51757,0.999686,10566,2,0.31376,0.5018,0.994069,10386,2
Arhgef1,4,0.35031,0.51757,0.999686,10565,2,0.63437,0.76152,0.999686,15660,2
Atp1a1,4,0.35032,0.51758,0.999686,10567,2,0.34377,0.52576,0.994069,10903,2
SGR000122369.1_XPR003.1,1,0.35033,0.51759,0.999686,10568,1,0.64967,0.77137,0.999686,15865,0
Olfr330,4,0.3504,0.51764,0.999686,10569,2,0.24107,0.42841,0.994056,8909,2
Acot11,4,0.35047,0.51769,0.999686,10570,2,0.52345,0.67034,0.99901,13852,2
Pttg1,4,0.35069,0.51788,0.999686,10572,2,0.10636,0.23237,0.982644,4861,2
Wdr27,4,0.35069,0.51787,0.999686,10571,2,0.1195,0.25273,0.983499,5300,2
Krt5,4,0.35075,0.51792,0.999686,10573,2,0.12764,0.26512,0.98511,5560,2
Olfr645,4,0.3508,0.51795,0.999686,10574,2,0.2697,0.46629,0.994069,9668,2
Nucks1,4,0.35084,0.51799,0.999686,10575,2,0.25618,0.44857,0.994069,9299,1
Zfp652,4,0.35086,0.51802,0.999686,10576,2,0.40905,0.57821,0.997125,11976,2
Zfp931,4,0.351,0.51812,0.999686,10577,2,0.2995,0.49054,0.994069,10160,2
Sgk1,4,0.35104,0.51816,0.999686,10579,2,0.83951,0.85834,0.999686,17654,1
Hoxa11,4,0.35104,0.51816,0.999686,10578,1,0.066903,0.16791,0.981041,3537,3
Dynlrb2,4,0.3511,0.5182,0.999686,10581,2,0.44543,0.60749,0.99901,12557,1
Ovgp1,4,0.3511,0.5182,0.999686,10580,2,0.91387,0.91357,0.999686,18780,1
Olfr1290,4,0.35137,0.51843,0.999686,10582,1,0.11997,0.25344,0.983499,5316,3
SGR000122080.1_XPR003.1,1,0.35144,0.51848,0.999686,10583,1,0.64856,0.77096,0.999686,15858,0
Zfp605,4,0.3515,0.51853,0.999686,10584,2,0.32394,0.50996,0.994069,10564,2
Dock9,4,0.35155,0.51858,0.999686,10585,2,0.49999,0.65126,0.99901,13452,2
SGR000121675.1_XPR003.1,1,0.35165,0.51867,0.999686,10586,1,0.64835,0.77089,0.999686,15856,0
Fam198a,4,0.3517,0.51871,0.999686,10587,1,0.20198,0.37431,0.98616,7827,2
Wdr25,4,0.35181,0.5188,0.999686,10589,2,0.50177,0.65268,0.99901,13486,2
Sgce,4,0.35181,0.5188,0.999686,10588,2,0.38828,0.56143,0.997001,11640,2
Tmem74b,4,0.35182,0.51882,0.999686,10590,1,0.48091,0.63594,0.99901,13134,2
Olfr653,4,0.35182,0.51882,0.999686,10592,2,0.80015,0.83619,0.999686,17186,1
Slc4a9,4,0.35182,0.51882,0.999686,10591,1,0.028955,0.085699,0.962674,1810,3
Nxnl2,4,0.35184,0.51883,0.999686,10593,2,0.94476,0.94407,0.999686,19443,0
Bfsp1,4,0.35191,0.51888,0.999686,10595,2,0.49204,0.64485,0.99901,13338,1
Tmem150c,4,0.35191,0.51888,0.999686,10594,2,0.38664,0.56013,0.99643,11620,2
SGR000122330.1_XPR003.1,1,0.35207,0.51903,0.999686,10596,1,0.64793,0.77074,0.999686,15853,0
Brwd1,4,0.35224,0.51917,0.999686,10597,2,0.093537,0.21177,0.982644,4425,2
Aoc2,4,0.35246,0.51934,0.999686,10598,1,0.04473,0.12633,0.962944,2705,3
Mapk3,4,0.35249,0.51937,0.999686,10599,2,0.12691,0.26398,0.98511,5538,2
Exoc2,4,0.35249,0.51937,0.999686,10600,2,0.37518,0.55099,0.994934,11444,2
