id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
Plcb3,4,0.21195,0.40164,1.0,7997,2,0.45464,0.46279,0.998845,9526,1
Vmn2r23,4,0.21195,0.40164,1.0,7998,1,0.41536,0.43025,0.998845,8869,1
Tmem35,4,0.21195,0.40164,1.0,7999,3,0.5072,0.50899,0.998845,10510,1
Hiat1,4,0.21195,0.40164,1.0,8000,1,0.67506,0.67502,1.0,13888,0
Akp3,4,0.21195,0.40164,1.0,8001,1,0.016814,0.04325,0.998845,833,3
Lage3,4,0.21195,0.40164,1.0,8002,1,0.14103,0.22524,0.998845,4470,2
BC089491,4,0.21195,0.40164,1.0,8003,1,0.026759,0.062477,0.998845,1228,1
Il9,4,0.21195,0.40164,1.0,8004,2,0.54841,0.54805,0.998845,11329,1
Vmn2r61,4,0.21195,0.40164,1.0,8005,2,0.79028,0.79012,1.0,16282,0
Zdhhc16,4,0.21195,0.40164,1.0,8006,2,0.4223,0.43588,0.998845,8981,1
Gm4303,4,0.21195,0.40164,1.0,8007,2,0.1593,0.25065,0.998845,4993,1
Vmn2r80,4,0.21195,0.40164,1.0,8008,3,0.79113,0.79097,1.0,16301,0
Txndc8,4,0.21195,0.40164,1.0,8009,3,0.12818,0.20724,0.998845,4093,1
Praf2,4,0.21195,0.40164,1.0,8010,2,0.6831,0.68307,1.0,14061,0
Tubb4a,4,0.21195,0.40164,1.0,8011,2,0.10234,0.17098,0.998845,3419,2
Blmh,4,0.21195,0.40164,1.0,8012,1,0.5443,0.544,0.998845,11241,1
Retn,4,0.21195,0.40164,1.0,8013,1,0.61749,0.61739,1.0,12706,0
Olfr1247,4,0.21195,0.40164,1.0,8014,2,0.15369,0.24279,0.998845,4827,2
Gtf2i,4,0.21195,0.40164,1.0,8015,3,0.91591,0.91587,1.0,18850,0
