id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
KCNG4,4,0.34362,0.5555,1.0,10505,1,0.61637,0.61613,0.985705,12551,0
SLC25A31,4,0.34362,0.5555,1.0,10506,1,0.34022,0.33977,0.985705,6869,1
ZNF845,4,0.34362,0.5555,1.0,10507,2,0.69084,0.69076,0.986998,14064,0
UBE2G1,4,0.34362,0.5555,1.0,10508,2,0.68459,0.68445,0.986998,13935,0
TSHZ1,4,0.34362,0.5555,1.0,10509,2,0.074125,0.11164,0.985705,2187,1
CDC42EP1,4,0.34362,0.5555,1.0,10510,1,0.24665,0.25256,0.985705,5073,1
TNFRSF8,4,0.34362,0.5555,1.0,10511,1,0.37345,0.37306,0.985705,7555,0
PGK2,4,0.34362,0.5555,1.0,10512,1,0.094894,0.12736,0.985705,2521,1
MPST,4,0.34362,0.5555,1.0,10513,1,0.074869,0.11224,0.985705,2201,1
FAM173A,4,0.34362,0.5555,1.0,10514,1,0.080314,0.11632,0.985705,2293,1
PSMA1,4,0.34362,0.5555,1.0,10515,2,0.70745,0.70746,0.986998,14411,0
UBASH3B,4,0.34362,0.5555,1.0,10516,2,0.9083,0.9086,1.0,18226,0
PRRT4,4,0.34362,0.5555,1.0,10517,1,0.77738,0.77753,0.990626,15780,0
CAMKV,4,0.34362,0.5555,1.0,10518,2,0.20146,0.21336,0.985705,4302,1
C2orf91,4,0.34362,0.5555,1.0,10519,2,0.095967,0.12821,0.985705,2534,1
MORF4L2,4,0.34362,0.5555,1.0,10520,2,0.91995,0.92025,1.0,18419,0
BCAS3,4,0.34362,0.5555,1.0,10521,2,0.68279,0.68267,0.986998,13894,0
ZNF273,4,0.34362,0.5555,1.0,10522,2,0.21648,0.22612,0.985705,4544,1
MRPS23,4,0.34362,0.5555,1.0,10523,1,0.15209,0.17254,0.985705,3447,1
OR2A12,4,0.34362,0.5555,1.0,10524,2,0.024049,0.044915,0.985084,901,1
TSPAN33,4,0.34362,0.5555,1.0,10525,2,0.024359,0.045426,0.985705,909,1
FAM151B,4,0.34362,0.5555,1.0,10526,1,0.31843,0.31869,0.985705,6447,1
TEAD1,4,0.34362,0.5555,1.0,10527,1,0.51261,0.51246,0.985705,10427,0
RNMTL1,4,0.34362,0.5555,1.0,10528,2,0.77259,0.77268,0.990024,15694,0
TRIM58,4,0.34362,0.5555,1.0,10529,1,0.47507,0.47504,0.985705,9622,0
