id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
Pigc,4,0.48429,0.63069,0.999686,12965,2,0.52787,0.6805,0.999686,14005,2
Igfbp1,4,0.48445,0.63082,0.999686,12967,1,0.045896,0.12927,0.974028,2712,3
Zxdc,4,0.48445,0.63082,0.999686,12968,1,0.20049,0.37486,0.989518,7730,3
Magee2,4,0.48445,0.63082,0.999686,12966,2,0.47824,0.6426,0.999212,13293,1
Abca4,4,0.48462,0.63097,0.999686,12970,2,0.36275,0.55561,0.996996,11487,2
Gpc6,4,0.48462,0.63097,0.999686,12969,1,0.11897,0.25699,0.983442,5399,3
Mybpc2,4,0.48468,0.63102,0.999686,12971,1,0.48352,0.64668,0.999246,13375,2
Fam159b,4,0.48474,0.63107,0.999686,12972,1,0.1694,0.33133,0.989518,6835,3
8430419L09Rik,4,0.48474,0.63107,0.999686,12973,1,0.3006,0.50641,0.994709,10523,2
Usp31,4,0.48474,0.63107,0.999686,12974,1,0.14873,0.30132,0.989518,6252,3
Ctsa,4,0.48483,0.63114,0.999686,12975,2,0.42485,0.60245,0.998713,12467,1
Gm9268,4,0.48493,0.63123,0.999686,12976,2,0.37555,0.56528,0.996996,11684,1
Pnldc1,4,0.48502,0.6313,0.999686,12977,2,0.046058,0.12968,0.974028,2723,2
