id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
G630090E17Rik,4,0.33426,0.54901,1.0,10847,2,0.90313,1.0,18108,0
Prr30,4,0.33429,0.54904,1.0,10848,2,0.062484,0.922898,1342,2
A630001G21Rik,4,0.33434,0.54907,1.0,10849,2,0.77373,1.0,15538,0
Fem1c,4,0.33434,0.54907,1.0,10850,2,0.76825,1.0,15425,0
Ppp1r12b,4,0.33454,0.54922,1.0,10851,2,0.68826,1.0,13800,1
Prrx1,4,0.33463,0.54929,1.0,10852,1,0.3903,1.0,7889,2
Gm6537,4,0.33483,0.54943,1.0,10853,2,0.50273,1.0,10156,1
Olfr456,4,0.33483,0.54943,1.0,10854,2,0.56746,1.0,11462,1
Cyp4f14,4,0.33486,0.54946,1.0,10855,1,0.055524,0.919894,1197,3
Prkd1,4,0.33493,0.5495,1.0,10856,2,0.23168,0.986463,4753,2
Zfp654,4,0.33493,0.5495,1.0,10857,2,0.54407,1.0,11005,1
Serpinf2,4,0.33493,0.5495,1.0,10858,2,0.44878,1.0,9030,1
SGR000122075.1_XPR003.1,1,0.33498,0.33511,0.980835,10859,1,0.66508,1.0,13440,0
Rcan1,4,0.33502,0.54957,1.0,10860,2,0.33469,1.0,6751,2
SGR000121949.1_XPR003.1,1,0.33507,0.3352,0.980835,10861,1,0.66498,1.0,13436,0
Cdc42bpa,4,0.33517,0.54969,1.0,10862,2,0.64006,1.0,12853,1
Gadd45a,4,0.33525,0.54974,1.0,10863,2,0.46115,1.0,9272,1
Hmg20b,4,0.3353,0.54978,1.0,10864,2,0.37893,1.0,7658,2
SGR000122042.1_XPR003.1,1,0.33531,0.33544,0.980835,10865,1,0.66475,1.0,13432,0
Gdf7,4,0.33534,0.54982,1.0,10866,2,0.37521,1.0,7579,2
Prrg3,4,0.33577,0.55014,1.0,10867,2,0.35828,1.0,7210,2
Krt71,4,0.33582,0.55018,1.0,10868,2,0.53152,1.0,10754,1
Pms2,4,0.33583,0.55018,1.0,10869,1,0.10915,0.957053,2297,2
Slfn8,4,0.33628,0.55051,1.0,10870,2,0.81244,1.0,16283,0
Tppp3,4,0.33631,0.55053,1.0,10871,1,0.39049,1.0,7895,2
Uck1,4,0.33631,0.55053,1.0,10872,2,0.27542,0.99257,5618,2
Endou,4,0.33631,0.55053,1.0,10873,1,0.13833,0.958477,2897,3
Smarcd2,4,0.33631,0.55053,1.0,10874,2,0.86529,1.0,17326,0
Rab3d,4,0.33631,0.55053,1.0,10875,2,0.48494,1.0,9790,1
Dnajb14,4,0.33631,0.55053,1.0,10876,1,0.13042,0.957053,2728,3
Gm5728,4,0.33631,0.55053,1.0,10877,1,0.39586,1.0,7990,2
C4b,4,0.33631,0.55053,1.0,10878,2,0.60422,1.0,12199,1
Ubap2l,4,0.33631,0.55053,1.0,10879,2,0.21117,0.981903,4346,2
Olfr358,4,0.33631,0.55053,1.0,10880,2,0.18667,0.973225,3861,2
Mtmr1,4,0.33631,0.55053,1.0,10881,2,0.37298,1.0,7525,2
Brd9,4,0.33631,0.55053,1.0,10882,2,0.66211,1.0,13308,1
SGR000121441.1_XPR003.1,1,0.33662,0.3368,0.981273,10883,1,0.66343,1.0,13411,0
SGR000122111.1_XPR003.1,1,0.33667,0.33685,0.981273,10884,1,0.66338,1.0,13410,0
SGR000121425.1_XPR003.1,1,0.33695,0.33714,0.981273,10885,1,0.6631,1.0,13402,0
Abce1,4,0.33747,0.55135,1.0,10886,2,0.88975,1.0,17843,0
1110032A03Rik,4,0.33747,0.55135,1.0,10887,2,0.48993,1.0,9908,1
Ifna12,4,0.33747,0.55135,1.0,10888,2,0.22919,0.985109,4709,2
Ttc1,4,0.33747,0.55135,1.0,10889,2,0.44269,1.0,8903,1
Try10,4,0.33747,0.55135,1.0,10890,2,0.40642,1.0,8185,2
Urb1,4,0.33747,0.55135,1.0,10891,2,0.68942,1.0,13825,1
Lrrc41,4,0.33747,0.55135,1.0,10892,2,0.1802,0.97306,3737,2
Vwa7,4,0.33747,0.55135,1.0,10893,2,0.84092,1.0,16843,0
Anks1,4,0.33747,0.55135,1.0,10894,2,0.26199,0.989216,5364,2
Tcirg1,4,0.33767,0.55148,1.0,10895,1,0.20177,0.979406,4161,2
Tnfsf14,4,0.33767,0.55148,1.0,10896,2,0.35478,1.0,7147,1
Cntnap5a,4,0.33784,0.5516,1.0,10897,1,0.14921,0.964487,3115,2
G6pd2,4,0.33808,0.55177,1.0,10898,2,0.30858,1.0,6232,2
Lnx1,4,0.33808,0.55177,1.0,10899,2,0.70505,1.0,14156,1
Pom121l2,4,0.33808,0.55177,1.0,10900,1,0.85576,1.0,17118,0
